claim_or_metric,section_or_page,value,period,unit,source_name,source_date,source_location,fact_tag,confidence,external_ready,notes,owner,review_status
"Registered universities and university-level institutions","Executive Summary / Market Opportunity","1289","2023-24","institutions","AISHE Final Report 2023-24","2026-07","https://www.dohe-education.gov.in/static/uploads/2026/07/8616f33dfee644ab6b87a2bd0658b18d.pdf","third-party research","high","yes","Official Department of Higher Education report","Management","reviewed"
"Registered colleges","Executive Summary / Market Opportunity","48246","2023-24","institutions","AISHE Final Report 2023-24","2026-07","https://www.dohe-education.gov.in/static/uploads/2026/07/8616f33dfee644ab6b87a2bd0658b18d.pdf","third-party research","high","yes","Official Department of Higher Education report","Management","reviewed"
"Registered standalone institutions","Executive Summary / Market Opportunity","15221","2023-24","institutions","AISHE Final Report 2023-24","2026-07","https://www.dohe-education.gov.in/static/uploads/2026/07/8616f33dfee644ab6b87a2bd0658b18d.pdf","third-party research","high","yes","Official Department of Higher Education report","Management","reviewed"
"Private unaided universities","SAM","546","2023-24","institutions","AISHE Final Report 2023-24","2026-07","https://www.dohe-education.gov.in/static/uploads/2026/07/8616f33dfee644ab6b87a2bd0658b18d.pdf","third-party research","high","yes","Official Department of Higher Education report","Management","reviewed"
"Private unaided share of responding colleges","SAM","70.0","2023-24","percent","AISHE Final Report 2023-24","2026-07","https://www.dohe-education.gov.in/static/uploads/2026/07/8616f33dfee644ab6b87a2bd0658b18d.pdf","third-party research","high","yes","Applied to responding-college base before management early-adopter filter","Management","reviewed"
"Autonomous-college planning count","TAM / SAM","1300","2026","institutions","UGC autonomous colleges list","2026-08","https://www.ugc.gov.in/colleges/Autonomous_Colleges_list","third-party research","medium","yes","Rounded public-list planning count; refresh before financing close","Management","reviewed"
"Company operating since","Executive Summary / Team","2025","as instructed","year","Company-provided","2026-08","User feedback","company-provided","high","yes","Replaces 2023 in prior draft","Founders","reviewed"
"Assessments generated or moderated","Traction","100+","as at 2026-08","assessments","Company-provided","2026-08","User feedback","company-provided","high","yes","Pilot/testing metric; not paying revenue","Founders","reviewed"
"Handwritten evaluation API cost","Unit Economics","12","base case","INR per booklet","Company-provided","2026-08","User feedback","company-provided","high","yes","Excludes printing and scan/QA cost","Founders","reviewed"
"Digital Text Evaluation direct cost","Unit Economics","10","base case","INR per student-course","Company-provided","2026-08","User feedback","company-provided","high","yes","Used as total direct evaluation cost","Founders","reviewed"
"Gemini 3.5 Flash-Lite standard input price","Unit Economics","0.30","2026-07","USD per 1M tokens","Google Gemini Developer API pricing","2026-07-30","https://ai.google.dev/gemini-api/docs/pricing","third-party research","high","yes","Current official list price when accessed","Management","reviewed"
"Gemini 3.5 Flash-Lite standard output price","Unit Economics","2.50","2026-07","USD per 1M tokens","Google Gemini Developer API pricing","2026-07-30","https://ai.google.dev/gemini-api/docs/pricing","third-party research","high","yes","Current official list price when accessed","Management","reviewed"
"USD/INR presentation rate","Round and Use of Funds","96.25","2026-07-21","INR per USD","Reserve Bank of India","2026-07-21","https://www.rbi.org.in/","third-party research","high","yes","Rounded from displayed 96.2537","Management","reviewed"
"TAM","Market Opportunity","1561","base case","INR crore","Segment model","2026-08","Revised business plan calculations","banker assumption","medium","yes","Sum of four non-overlapping segment budget pools","Management","reviewed"
"SAM","Market Opportunity","362","base case","INR crore","Segment model","2026-08","Revised business plan calculations","banker assumption","medium","yes","Same segment economics with explicit serviceability filters","Management","reviewed"
"Year 3 revenue SOM","Market Opportunity / Financial Projections","3.98","Year 3","INR crore","Operating forecast","2026-08","Revised business plan calculations","banker assumption","medium","yes","Tied directly to Year 3 forecast","Management","reviewed"
